NULL,percen,column
0,0.0,Judgment
0,0.0,Positive(Diff.)
0,0.0,Positive(Morph.)
0,0.0,Positive(Count)
0,0.0,WBC Abnormal
0,0.0,WBC Suspect
0,0.0,RBC Abnormal
0,0.0,RBC Suspect
0,0.0,PLT Abnormal
0,0.0,PLT Suspect
0,0.0,IP ABN(WBC)WBC Abn Scattergram
0,0.0,IP ABN(WBC)Neutropenia
0,0.0,IP ABN(WBC)Neutrophilia
0,0.0,IP ABN(WBC)Lymphopenia
0,0.0,IP ABN(WBC)Lymphocytosis
0,0.0,IP ABN(WBC)Monocytosis
0,0.0,IP ABN(WBC)Eosinophilia
0,0.0,IP ABN(WBC)Basophilia
0,0.0,IP ABN(WBC)Leukocytopenia
0,0.0,IP ABN(WBC)Leukocytosis
0,0.0,IP ABN(WBC)NRBC Present
0,0.0,IP ABN(WBC)IG Present
0,0.0,IP ABN(RBC)RBC Abn Distribution
0,0.0,IP ABN(RBC)Dimorphic Population
0,0.0,IP ABN(RBC)Anisocytosis
0,0.0,IP ABN(RBC)Microcytosis
0,0.0,IP ABN(RBC)Macrocytosis
0,0.0,IP ABN(RBC)Hypochromia
0,0.0,IP ABN(RBC)Anemia
0,0.0,IP ABN(RBC)Erythrocytosis
0,0.0,IP ABN(RBC)RET Abn Scattergram
0,0.0,IP ABN(RBC)Reticulocytosis
0,0.0,IP ABN(PLT)PLT Abn Distribution
0,0.0,IP ABN(PLT)Thrombocytopenia
0,0.0,IP ABN(PLT)Thrombocytosis
0,0.0,IP ABN(PLT)PLT Abn Scattergram
0,0.0,IP SUS(WBC)Blasts/Abn Lympho?
0,0.0,IP SUS(WBC)Blasts?
0,0.0,IP SUS(WBC)Abn Lympho?
0,0.0,IP SUS(WBC)Left Shift?
0,0.0,IP SUS(WBC)Atypical Lympho?
0,0.0,IP SUS(RBC)RBC Agglutination?
0,0.0,IP SUS(RBC)Turbidity/HGB Interf?
0,0.0,IP SUS(RBC)Iron Deficiency?
0,0.0,IP SUS(RBC)HGB Defect?
0,0.0,IP SUS(RBC)Fragments?
0,0.0,IP SUS(PLT)PLT Clumps?
0,0.0,Q-Flag(Left Shift?)
0,0.0,Q-Flag(Atypical Lympho?)
0,0.0,Q-Flag(RBC Agglutination?)
0,0.0,Q-Flag(Turbidity/HGB Interf?)
0,0.0,Q-Flag(Iron Deficiency?)
0,0.0,Q-Flag(HGB Defect?)
0,0.0,Q-Flag(Fragments?)
0,0.0,Q-Flag(PLT Clumps?)
0,0.0,WBC(10^9/L)
6,0.4234297812279464,WBC/M
0,0.0,RBC(10^12/L)
82,5.7868736767819335,RBC/M
0,0.0,HGB(g/dL)
38,2.681721947776994,HGB/M
0,0.0,HCT(%)
79,5.575158786167961,HCT/M
0,0.0,MCV(fL)
79,5.575158786167961,MCV/M
0,0.0,MCH(pg)
112,7.904022582921666,MCH/M
0,0.0,MCHC(g/dL)
112,7.904022582921666,MCHC/M
0,0.0,PLT(10^3/uL)
41,2.8934368383909668,PLT/M
0,0.0,RDW-SD(fL)
41,2.8934368383909668,RDW-SD/M
